n:1 R:0.999666 G:0.995750 B:0.995659 All:0.997025 (25.265390)
n:2 R:0.999639 G:0.995627 B:0.995525 All:0.996931 (25.129339)
n:3 R:0.999613 G:0.995606 B:0.995505 All:0.996908 (25.097972)
n:4 R:0.999585 G:0.995787 B:0.995693 All:0.997022 (25.260113)
n:5 R:0.999559 G:0.995618 B:0.995514 All:0.996897 (25.082051)
n:6 R:0.999541 G:0.995697 B:0.995598 All:0.996945 (25.150564)
n:7 R:0.999521 G:0.995708 B:0.995618 All:0.996949 (25.155462)
n:8 R:0.999526 G:0.995998 B:0.995914 All:0.997146 (25.445375)
n:9 R:0.999725 G:0.997147 B:0.997039 All:0.997970 (26.925623)
n:10 R:0.999814 G:0.997747 B:0.997641 All:0.998401 (27.960706)
n:11 R:0.999875 G:0.998117 B:0.998013 All:0.998668 (28.755741)
n:12 R:0.999914 G:0.998516 B:0.998441 All:0.998957 (29.816551)
n:13 R:0.999938 G:0.998949 B:0.998895 All:0.999261 (31.311172)
n:14 R:0.999951 G:0.999359 B:0.999314 All:0.999541 (33.385438)
n:15 R:0.999964 G:0.999611 B:0.999563 All:0.999712 (35.409717)
n:16 R:0.999968 G:0.999639 B:0.999634 All:0.999747 (35.964816)
n:17 R:0.999981 G:0.999654 B:0.999682 All:0.999772 (36.419431)
n:18 R:0.999988 G:0.999667 B:0.999706 All:0.999787 (36.716096)
n:19 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:20 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:21 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:22 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:23 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:24 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:25 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:26 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:27 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:28 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:29 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:30 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:31 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:32 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:33 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:34 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:35 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:36 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:37 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:38 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:39 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:40 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:41 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:42 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:43 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:44 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:45 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
