n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:2 R:0.997043 G:0.995640 B:0.997388 All:0.996690 (24.802086)
n:3 R:0.997619 G:0.996151 B:0.999470 All:0.997747 (26.471504)
n:4 R:0.999095 G:0.995862 B:0.996273 All:0.997077 (25.340987)
n:5 R:0.995912 G:0.996300 B:0.995848 All:0.996020 (24.001477)
n:6 R:0.998843 G:0.999026 B:0.995856 All:0.997908 (26.795353)
n:7 R:0.995832 G:0.995888 B:0.999010 All:0.996910 (25.100586)
n:8 R:0.996376 G:0.995906 B:0.995830 All:0.996038 (24.020354)
n:9 R:0.997598 G:0.997529 B:0.996519 All:0.997216 (25.552733)
n:10 R:0.999028 G:0.999006 B:0.997588 All:0.998541 (28.358464)
n:11 R:0.999103 G:0.999105 B:0.999107 All:0.999105 (30.482101)
n:12 R:0.999104 G:0.999105 B:0.999107 All:0.999105 (30.482288)
n:13 R:0.999104 G:0.999105 B:0.999107 All:0.999105 (30.482352)
n:14 R:0.999104 G:0.999105 B:0.999107 All:0.999105 (30.482352)
n:15 R:0.999104 G:0.999105 B:0.999107 All:0.999105 (30.482352)
n:16 R:0.999104 G:0.999105 B:0.999107 All:0.999105 (30.482352)
n:17 R:0.999104 G:0.999105 B:0.999107 All:0.999105 (30.482352)
n:18 R:0.999104 G:0.999105 B:0.999107 All:0.999105 (30.482352)
n:19 R:0.999104 G:0.999105 B:0.999107 All:0.999105 (30.482352)
n:20 R:0.999104 G:0.999105 B:0.999107 All:0.999105 (30.482352)
n:21 R:0.999104 G:0.999105 B:0.999107 All:0.999105 (30.482352)
n:22 R:0.997913 G:0.997889 B:0.997867 All:0.997890 (26.756523)
n:23 R:0.997728 G:0.997724 B:0.997723 All:0.997725 (26.429771)
n:24 R:0.997101 G:0.997095 B:0.997078 All:0.997092 (25.363440)
n:25 R:0.997040 G:0.997037 B:0.997031 All:0.997036 (25.281241)
