n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:2 R:0.999986 G:0.999987 B:0.999991 All:0.999988 (49.087781)
n:3 R:0.999988 G:0.999990 B:0.999996 All:0.999991 (50.674654)
n:4 R:0.999986 G:0.999988 B:0.999996 All:0.999990 (50.103386)
n:5 R:0.999985 G:0.999987 B:0.999992 All:0.999988 (49.192126)
n:6 R:0.999985 G:0.999987 B:0.999997 All:0.999989 (49.742497)
n:7 R:0.999984 G:0.999986 B:0.999996 All:0.999989 (49.459032)
n:8 R:0.999983 G:0.999985 B:0.999995 All:0.999988 (49.129434)
n:9 R:0.999982 G:0.999983 B:0.999996 All:0.999987 (48.867913)
n:10 R:0.999982 G:0.999983 B:0.999996 All:0.999987 (48.867913)
n:11 R:0.999982 G:0.999983 B:0.999996 All:0.999987 (48.867913)
n:12 R:0.999982 G:0.999983 B:0.999996 All:0.999987 (48.867913)
n:13 R:0.999982 G:0.999983 B:0.999996 All:0.999987 (48.867913)
n:14 R:0.999982 G:0.999983 B:0.999996 All:0.999987 (48.867913)
n:15 R:0.999982 G:0.999983 B:0.999996 All:0.999987 (48.867913)
n:16 R:0.999982 G:0.999983 B:0.999996 All:0.999987 (48.867913)
n:17 R:0.999982 G:0.999983 B:0.999996 All:0.999987 (48.867913)
n:18 R:0.999982 G:0.999983 B:0.999996 All:0.999987 (48.867913)
n:19 R:0.999982 G:0.999983 B:0.999996 All:0.999987 (48.867913)
n:20 R:0.999982 G:0.999983 B:0.999996 All:0.999987 (48.867913)
n:21 R:0.999982 G:0.999983 B:0.999996 All:0.999987 (48.867913)
n:22 R:0.999981 G:0.999984 B:0.999991 All:0.999985 (48.383587)
n:23 R:0.999982 G:0.999984 B:0.999991 All:0.999986 (48.513652)
n:24 R:0.999988 G:0.999990 B:0.999995 All:0.999991 (50.316409)
n:25 R:0.999989 G:0.999991 B:0.999995 All:0.999992 (50.903062)
n:26 R:0.999989 G:0.999992 B:0.999994 All:0.999991 (50.679068)
n:27 R:0.999989 G:0.999988 B:0.999987 All:0.999988 (49.156242)
n:28 R:0.999997 G:0.999997 B:0.999995 All:0.999996 (53.974526)
n:29 R:0.999986 G:0.999986 B:0.999932 All:0.999968 (44.951082)
n:30 R:0.999981 G:0.999982 B:0.999984 All:0.999983 (47.574252)
n:31 R:0.999983 G:0.999986 B:0.999989 All:0.999986 (48.544443)
n:32 R:0.999986 G:0.999988 B:0.999989 All:0.999988 (49.120017)
n:33 R:0.999980 G:0.999984 B:0.999990 All:0.999984 (48.076908)
n:34 R:0.999984 G:0.999986 B:0.999991 All:0.999987 (48.887393)
