n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:2 R:0.999881 G:0.999881 B:0.999680 All:0.999814 (37.304305)
n:3 R:0.999989 G:0.999989 B:0.999995 All:0.999991 (50.302709)
n:4 R:0.999902 G:0.999902 B:0.998180 All:0.999328 (31.724753)
n:5 R:0.999510 G:0.999510 B:0.998744 All:0.999254 (31.275085)
n:6 R:0.952300 G:0.952301 B:0.968879 All:0.957827 (13.749613)
n:7 R:0.996784 G:0.996801 B:0.999451 All:0.997679 (26.342614)
n:8 R:0.996961 G:0.996990 B:0.999308 All:0.997753 (26.484387)
n:9 R:0.996604 G:0.996601 B:0.999007 All:0.997404 (25.856778)
n:10 R:0.996707 G:0.996684 B:0.999109 All:0.997500 (26.020850)
n:11 R:0.996920 G:0.996948 B:0.999101 All:0.997657 (26.301547)
n:12 R:0.996889 G:0.996858 B:0.998845 All:0.997530 (26.073740)
n:13 R:0.996554 G:0.996566 B:0.998909 All:0.997343 (25.756429)
n:14 R:0.996654 G:0.996652 B:0.999078 All:0.997461 (25.954219)
n:15 R:0.996728 G:0.996731 B:0.999181 All:0.997547 (26.102593)
n:16 R:0.996653 G:0.996663 B:0.998819 All:0.997378 (25.814389)
n:17 R:0.996883 G:0.996925 B:0.999072 All:0.997627 (26.246607)
n:18 R:0.997009 G:0.996991 B:0.999167 All:0.997723 (26.425678)
n:19 R:0.996066 G:0.996068 B:0.998281 All:0.996805 (24.955599)
n:20 R:0.997075 G:0.997071 B:0.999055 All:0.997734 (26.446602)
n:21 R:0.997126 G:0.997122 B:0.999094 All:0.997781 (26.537980)
n:22 R:0.997109 G:0.997102 B:0.999078 All:0.997763 (26.503045)
n:23 R:0.997093 G:0.997091 B:0.999069 All:0.997751 (26.479709)
n:24 R:0.997104 G:0.997104 B:0.999080 All:0.997763 (26.502505)
n:25 R:0.997110 G:0.997111 B:0.999089 All:0.997770 (26.516610)
n:26 R:0.997107 G:0.997106 B:0.999083 All:0.997765 (26.507992)
n:27 R:0.997113 G:0.997115 B:0.999089 All:0.997772 (26.521779)
n:28 R:0.997111 G:0.997112 B:0.999088 All:0.997770 (26.517216)
n:29 R:0.997110 G:0.997109 B:0.999086 All:0.997768 (26.513921)
n:30 R:0.997109 G:0.997107 B:0.999089 All:0.997768 (26.513894)
n:31 R:0.997105 G:0.997105 B:0.999079 All:0.997763 (26.503422)
n:32 R:0.997066 G:0.997066 B:0.999042 All:0.997725 (26.429882)
n:33 R:0.996652 G:0.996650 B:0.998645 All:0.997316 (25.711625)
n:34 R:0.997125 G:0.997128 B:0.999116 All:0.997789 (26.554814)
