n:1 R:0.999981 G:0.999982 B:0.999962 All:0.999975 (45.991006)
n:2 R:0.999972 G:0.999979 B:0.999957 All:0.999969 (45.090134)
n:3 R:0.999972 G:0.999979 B:0.999957 All:0.999969 (45.090134)
n:4 R:0.999972 G:0.999979 B:0.999957 All:0.999969 (45.090134)
n:5 R:0.999972 G:0.999979 B:0.999957 All:0.999969 (45.090134)
n:6 R:0.999972 G:0.999979 B:0.999957 All:0.999969 (45.090134)
n:7 R:0.999988 G:0.999986 B:0.999950 All:0.999975 (45.956317)
n:8 R:0.999988 G:0.999986 B:0.999950 All:0.999975 (45.956317)
n:9 R:0.999988 G:0.999986 B:0.999950 All:0.999975 (45.956317)
n:10 R:0.999988 G:0.999986 B:0.999950 All:0.999975 (45.956317)
n:11 R:0.999988 G:0.999986 B:0.999950 All:0.999975 (45.956317)
n:12 R:0.999975 G:0.999980 B:0.999964 All:0.999973 (45.705953)
n:13 R:0.999975 G:0.999980 B:0.999964 All:0.999973 (45.705953)
n:14 R:0.999975 G:0.999980 B:0.999964 All:0.999973 (45.705953)
n:15 R:0.999975 G:0.999980 B:0.999964 All:0.999973 (45.705953)
n:16 R:0.999973 G:0.999962 B:0.999930 All:0.999955 (43.445174)
n:17 R:0.999973 G:0.999962 B:0.999930 All:0.999955 (43.445174)
n:18 R:0.999999 G:0.999999 B:0.999995 All:0.999998 (56.681184)
n:19 R:0.999999 G:0.999999 B:0.999995 All:0.999998 (56.681184)
n:20 R:0.999999 G:0.999999 B:0.999995 All:0.999998 (56.681184)
n:21 R:0.999999 G:0.999999 B:0.999995 All:0.999998 (56.681184)
n:22 R:0.999999 G:0.999999 B:0.999995 All:0.999998 (56.681184)
n:23 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (69.058471)
n:24 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (68.527124)
n:25 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (66.548851)
n:26 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (66.548851)
n:27 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (77.760600)
n:28 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (77.760600)
n:29 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (76.904613)
n:30 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (76.904613)
n:31 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:32 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:33 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:34 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:35 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:36 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:37 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:38 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:39 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:40 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:41 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:42 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:43 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:44 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:45 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:46 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:47 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:48 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:49 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:50 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:51 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
n:52 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (72.888251)
