n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:2 R:0.998917 G:0.998950 B:0.998965 All:0.998944 (29.762556)
n:3 R:0.998426 G:0.998397 B:0.998326 All:0.998383 (27.913330)
n:4 R:0.998591 G:0.998585 B:0.998551 All:0.998576 (28.463568)
n:5 R:0.998075 G:0.998088 B:0.998026 All:0.998063 (27.128710)
n:6 R:0.997828 G:0.997810 B:0.997663 All:0.997767 (26.510357)
n:7 R:0.998165 G:0.998155 B:0.998039 All:0.998120 (27.258513)
n:8 R:0.998195 G:0.998189 B:0.998031 All:0.998138 (27.301352)
n:9 R:0.998087 G:0.998051 B:0.997856 All:0.997998 (26.985584)
n:10 R:0.998055 G:0.998041 B:0.997850 All:0.997982 (26.950708)
n:11 R:0.998016 G:0.997986 B:0.997799 All:0.997934 (26.847995)
n:12 R:0.997833 G:0.997811 B:0.997589 All:0.997744 (26.467040)
n:13 R:0.997828 G:0.997831 B:0.997580 All:0.997747 (26.471696)
n:14 R:0.997937 G:0.997934 B:0.997704 All:0.997858 (26.692362)
n:15 R:0.997719 G:0.997689 B:0.997421 All:0.997610 (26.215578)
n:16 R:0.997581 G:0.997562 B:0.997307 All:0.997483 (25.991778)
n:17 R:0.997725 G:0.997734 B:0.997491 All:0.997650 (26.289327)
n:18 R:0.997567 G:0.997559 B:0.997319 All:0.997482 (25.988859)
n:19 R:0.997435 G:0.997428 B:0.997212 All:0.997358 (25.781301)
n:20 R:0.997252 G:0.997256 B:0.997019 All:0.997175 (25.490343)
n:21 R:0.997034 G:0.997038 B:0.996781 All:0.996951 (25.158469)
n:22 R:0.996785 G:0.996774 B:0.996550 All:0.996703 (24.818745)
n:23 R:0.996558 G:0.996549 B:0.996298 All:0.996468 (24.520158)
n:24 R:0.996467 G:0.996465 B:0.996209 All:0.996380 (24.413086)
n:25 R:0.996125 G:0.996164 B:0.995929 All:0.996073 (24.058960)
n:26 R:0.995898 G:0.995903 B:0.995663 All:0.995821 (23.789449)
n:27 R:0.995211 G:0.995230 B:0.994986 All:0.995142 (23.135671)
n:28 R:0.994530 G:0.994550 B:0.994323 All:0.994468 (22.571009)
n:29 R:0.992473 G:0.992493 B:0.992239 All:0.992402 (21.192789)
n:30 R:0.991231 G:0.991263 B:0.991046 All:0.991180 (20.545218)
n:31 R:0.990320 G:0.990334 B:0.990115 All:0.990257 (20.112925)
n:32 R:0.990240 G:0.990275 B:0.990052 All:0.990189 (20.082942)
n:33 R:0.990121 G:0.990126 B:0.989939 All:0.990062 (20.026894)
n:34 R:0.990083 G:0.990098 B:0.989857 All:0.990013 (20.005578)
n:35 R:0.990208 G:0.990214 B:0.989956 All:0.990126 (20.054899)
n:36 R:0.990310 G:0.990314 B:0.990080 All:0.990235 (20.103124)
n:37 R:0.990257 G:0.990257 B:0.989967 All:0.990160 (20.070226)
n:38 R:0.990167 G:0.990158 B:0.989887 All:0.990070 (20.030694)
n:39 R:0.990211 G:0.990239 B:0.989986 All:0.990145 (20.063624)
n:40 R:0.990254 G:0.990296 B:0.990086 All:0.990212 (20.093185)
n:41 R:0.990161 G:0.990220 B:0.990024 All:0.990135 (20.058832)
n:42 R:0.990140 G:0.990192 B:0.989957 All:0.990096 (20.042034)
n:43 R:0.990113 G:0.990161 B:0.989928 All:0.990067 (20.029377)
n:44 R:0.990035 G:0.990093 B:0.989869 All:0.989999 (19.999432)
n:45 R:0.990007 G:0.990059 B:0.989851 All:0.989972 (19.987975)
n:46 R:0.989918 G:0.989974 B:0.989765 All:0.989886 (19.950636)
n:47 R:0.989938 G:0.989975 B:0.989754 All:0.989889 (19.952028)
n:48 R:0.989909 G:0.989965 B:0.989727 All:0.989867 (19.942640)
n:49 R:0.989898 G:0.989935 B:0.989705 All:0.989846 (19.933693)
n:50 R:0.989989 G:0.990043 B:0.989845 All:0.989959 (19.982253)
n:51 R:0.989907 G:0.989967 B:0.989750 All:0.989875 (19.945871)
n:52 R:0.989881 G:0.989935 B:0.989705 All:0.989840 (19.931112)
n:53 R:0.989864 G:0.989883 B:0.989644 All:0.989797 (19.912783)
n:54 R:0.989934 G:0.989974 B:0.989714 All:0.989874 (19.945703)
n:55 R:0.989858 G:0.989898 B:0.989646 All:0.989801 (19.914358)
n:56 R:0.989937 G:0.990012 B:0.989785 All:0.989911 (19.961667)
n:57 R:0.989950 G:0.989992 B:0.989758 All:0.989900 (19.956804)
n:58 R:0.990068 G:0.990090 B:0.989855 All:0.990004 (20.001848)
n:59 R:0.990033 G:0.990063 B:0.989816 All:0.989970 (19.987123)
n:60 R:0.990085 G:0.990070 B:0.989807 All:0.989987 (19.994477)
n:61 R:0.990078 G:0.990092 B:0.989858 All:0.990009 (20.004070)
n:62 R:0.990053 G:0.990075 B:0.989845 All:0.989991 (19.996022)
n:63 R:0.990066 G:0.990049 B:0.989804 All:0.989973 (19.988291)
n:64 R:0.990052 G:0.990029 B:0.989752 All:0.989944 (19.975803)
n:65 R:0.990114 G:0.990080 B:0.989777 All:0.989990 (19.995811)
n:66 R:0.990256 G:0.990171 B:0.989856 All:0.990094 (20.041116)
n:67 R:0.990276 G:0.990174 B:0.989867 All:0.990106 (20.046141)
n:68 R:0.990177 G:0.990114 B:0.989786 All:0.990025 (20.011053)
n:69 R:0.990153 G:0.990090 B:0.989767 All:0.990003 (20.001363)
n:70 R:0.990195 G:0.990106 B:0.989782 All:0.990028 (20.011988)
n:71 R:0.990170 G:0.990101 B:0.989780 All:0.990017 (20.007409)
n:72 R:0.990218 G:0.990130 B:0.989830 All:0.990059 (20.025759)
n:73 R:0.990221 G:0.990149 B:0.989853 All:0.990074 (20.032327)
n:74 R:0.990122 G:0.990055 B:0.989776 All:0.989984 (19.993210)
n:75 R:0.990113 G:0.990043 B:0.989765 All:0.989974 (19.988597)
n:76 R:0.990016 G:0.989976 B:0.989692 All:0.989895 (19.954486)
n:77 R:0.990029 G:0.990006 B:0.989723 All:0.989919 (19.965062)
n:78 R:0.990003 G:0.990006 B:0.989710 All:0.989906 (19.959385)
n:79 R:0.989923 G:0.989929 B:0.989662 All:0.989838 (19.930280)
