n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:2 R:0.999894 G:0.999894 B:0.999896 All:0.999894 (39.761682)
n:3 R:0.999529 G:0.999534 B:0.999549 All:0.999537 (33.347642)
n:4 R:0.999238 G:0.999244 B:0.999254 All:0.999245 (31.222809)
n:5 R:0.998810 G:0.998820 B:0.998833 All:0.998821 (29.285499)
n:6 R:0.998640 G:0.998653 B:0.998675 All:0.998656 (28.716473)
n:7 R:0.998629 G:0.998643 B:0.998670 All:0.998647 (28.687705)
n:8 R:0.998624 G:0.998640 B:0.998666 All:0.998643 (28.675160)
n:9 R:0.998616 G:0.998633 B:0.998661 All:0.998637 (28.653995)
n:10 R:0.998614 G:0.998633 B:0.998661 All:0.998636 (28.651378)
n:11 R:0.998614 G:0.998633 B:0.998661 All:0.998636 (28.651378)
n:12 R:0.998413 G:0.998435 B:0.998469 All:0.998439 (28.066259)
n:13 R:0.998271 G:0.998292 B:0.998328 All:0.998297 (27.687055)
n:14 R:0.998174 G:0.998187 B:0.998227 All:0.998196 (27.437633)
n:15 R:0.998136 G:0.998163 B:0.998199 All:0.998166 (27.365755)
n:16 R:0.997954 G:0.997976 B:0.998018 All:0.997983 (26.952150)
n:17 R:0.998024 G:0.998051 B:0.998091 All:0.998055 (27.111267)
n:18 R:0.997969 G:0.997999 B:0.998041 All:0.998003 (26.995964)
n:19 R:0.997833 G:0.997864 B:0.997909 All:0.997869 (26.713179)
n:20 R:0.997645 G:0.997679 B:0.997727 All:0.997684 (26.351834)
n:21 R:0.997420 G:0.997444 B:0.997497 All:0.997453 (25.940496)
n:22 R:0.997305 G:0.997340 B:0.997395 All:0.997347 (25.762355)
n:23 R:0.997332 G:0.997367 B:0.997421 All:0.997373 (25.805626)
n:24 R:0.997336 G:0.997372 B:0.997427 All:0.997378 (25.814382)
n:25 R:0.997051 G:0.997089 B:0.997147 All:0.997096 (25.369568)
n:26 R:0.996759 G:0.996797 B:0.996865 All:0.996807 (24.958279)
n:27 R:0.996587 G:0.996616 B:0.996691 All:0.996631 (24.725385)
n:28 R:0.996598 G:0.996649 B:0.996724 All:0.996657 (24.758678)
n:29 R:0.996397 G:0.996438 B:0.996519 All:0.996452 (24.499624)
n:30 R:0.996461 G:0.996513 B:0.996592 All:0.996522 (24.586563)
n:31 R:0.996490 G:0.996544 B:0.996625 All:0.996553 (24.625453)
n:32 R:0.996190 G:0.996246 B:0.996332 All:0.996256 (24.266731)
n:33 R:0.995830 G:0.995895 B:0.995985 All:0.995903 (23.875837)
n:34 R:0.995398 G:0.995447 B:0.995545 All:0.995463 (23.432515)
n:35 R:0.995250 G:0.995315 B:0.995412 All:0.995326 (23.302844)
n:36 R:0.995265 G:0.995330 B:0.995428 All:0.995341 (23.317081)
n:37 R:0.995272 G:0.995336 B:0.995433 All:0.995347 (23.322424)
n:38 R:0.995004 G:0.995070 B:0.995169 All:0.995081 (23.081063)
n:39 R:0.994700 G:0.994764 B:0.994868 All:0.994777 (22.820888)
n:40 R:0.994670 G:0.994721 B:0.994842 All:0.994744 (22.793667)
n:41 R:0.995001 G:0.995082 B:0.995194 All:0.995092 (23.091013)
n:42 R:0.994998 G:0.995068 B:0.995186 All:0.995084 (23.083924)
n:43 R:0.995241 G:0.995320 B:0.995440 All:0.995334 (23.310618)
n:44 R:0.995219 G:0.995299 B:0.995418 All:0.995312 (23.290286)
n:45 R:0.994761 G:0.994849 B:0.994981 All:0.994864 (22.893385)
n:46 R:0.994205 G:0.994296 B:0.994421 All:0.994307 (22.446823)
n:47 R:0.993472 G:0.993535 B:0.993671 All:0.993559 (21.910744)
n:48 R:0.993098 G:0.993189 B:0.993325 All:0.993204 (21.677345)
n:49 R:0.993088 G:0.993181 B:0.993321 All:0.993197 (21.672693)
n:50 R:0.993113 G:0.993205 B:0.993344 All:0.993221 (21.688271)
n:51 R:0.993113 G:0.993205 B:0.993344 All:0.993221 (21.688271)
n:52 R:0.993113 G:0.993205 B:0.993344 All:0.993221 (21.688271)
n:53 R:0.993113 G:0.993205 B:0.993344 All:0.993221 (21.688271)
n:54 R:0.993113 G:0.993205 B:0.993344 All:0.993221 (21.688271)
n:55 R:0.993113 G:0.993205 B:0.993344 All:0.993221 (21.688271)
n:56 R:0.993113 G:0.993205 B:0.993344 All:0.993221 (21.688271)
n:57 R:0.993113 G:0.993205 B:0.993344 All:0.993221 (21.688271)
n:58 R:0.993113 G:0.993205 B:0.993344 All:0.993221 (21.688271)
