n:1 R:0.999975 G:0.999979 B:0.999988 All:0.999981 (47.115904)
n:2 R:0.999998 G:0.999998 B:0.999999 All:0.999998 (57.963928)
n:3 R:0.999998 G:0.999999 B:0.999999 All:0.999999 (58.468911)
n:4 R:0.999997 G:0.999997 B:0.999998 All:0.999997 (55.828817)
n:5 R:0.999996 G:0.999996 B:0.999998 All:0.999997 (54.578863)
n:6 R:0.999997 G:0.999997 B:0.999998 All:0.999997 (55.402676)
n:7 R:0.999997 G:0.999997 B:0.999998 All:0.999997 (55.917557)
n:8 R:0.999995 G:0.999996 B:0.999997 All:0.999996 (54.337538)
n:9 R:0.999995 G:0.999995 B:0.999997 All:0.999995 (53.443748)
n:10 R:0.999994 G:0.999994 B:0.999996 All:0.999995 (52.742853)
n:11 R:0.999992 G:0.999992 B:0.999993 All:0.999992 (51.131957)
n:12 R:0.999989 G:0.999991 B:0.999990 All:0.999990 (49.927461)
n:13 R:0.999981 G:0.999982 B:0.999979 All:0.999981 (47.200507)
n:14 R:0.999959 G:0.999965 B:0.999962 All:0.999962 (44.191919)
n:15 R:0.999933 G:0.999939 B:0.999938 All:0.999937 (41.996190)
n:16 R:0.999858 G:0.999877 B:0.999860 All:0.999865 (38.696168)
n:17 R:0.999754 G:0.999784 B:0.999762 All:0.999767 (36.318942)
n:18 R:0.999400 G:0.999614 B:0.999277 All:0.999430 (32.442218)
n:19 R:0.998697 G:0.998774 B:0.999194 All:0.998888 (29.540868)
n:20 R:0.998624 G:0.997674 B:0.997593 All:0.997964 (26.911840)
n:21 R:0.998850 G:0.998850 B:0.998850 All:0.998850 (29.393530)
n:22 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:23 R:0.999844 G:0.999841 B:0.999824 All:0.999836 (37.849060)
n:24 R:0.999903 G:0.999894 B:0.999875 All:0.999891 (39.618943)
n:25 R:0.999950 G:0.999942 B:0.999933 All:0.999942 (42.348805)
n:26 R:0.999979 G:0.999974 B:0.999969 All:0.999974 (45.809923)
n:27 R:0.999985 G:0.999985 B:0.999980 All:0.999984 (47.852632)
n:28 R:0.999987 G:0.999987 B:0.999986 All:0.999987 (48.735405)
n:29 R:0.999995 G:0.999995 B:0.999994 All:0.999995 (52.608850)
n:30 R:0.999996 G:0.999996 B:0.999995 All:0.999996 (53.761055)
n:31 R:0.999997 G:0.999998 B:0.999996 All:0.999997 (55.032349)
n:32 R:0.999999 G:0.999998 B:0.999999 All:0.999999 (58.517904)
n:33 R:1.000000 G:0.999999 B:0.999999 All:0.999999 (61.249346)
n:34 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (66.524359)
n:35 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (67.346821)
n:36 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (69.790132)
n:37 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (73.960232)
n:38 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:39 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:40 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:41 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:42 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:43 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:44 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:45 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:46 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:47 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:48 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:49 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:50 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:51 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:52 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:53 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:54 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:55 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:56 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:57 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:58 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:59 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:60 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:61 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:62 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:63 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:64 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:65 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:66 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:67 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:68 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:69 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:70 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:71 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:72 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:73 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:74 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:75 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:76 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:77 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:78 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:79 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:80 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:81 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:82 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:83 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:84 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:85 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:86 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:87 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:88 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:89 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
n:90 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (70.272064)
