n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:2 R:0.999873 G:0.999873 B:0.999873 All:0.999873 (38.963909)
n:3 R:0.999648 G:0.999648 B:0.999648 All:0.999648 (34.536229)
n:4 R:0.999494 G:0.999494 B:0.999494 All:0.999494 (32.956024)
n:5 R:0.999394 G:0.999394 B:0.999394 All:0.999394 (32.172386)
n:6 R:0.999164 G:0.999164 B:0.999164 All:0.999164 (30.779515)
n:7 R:0.999073 G:0.999073 B:0.999073 All:0.999073 (30.330547)
n:8 R:0.998952 G:0.998952 B:0.998952 All:0.998952 (29.797832)
n:9 R:0.998837 G:0.998837 B:0.998837 All:0.998837 (29.342543)
n:10 R:0.998752 G:0.998752 B:0.998752 All:0.998752 (29.039123)
n:11 R:0.998654 G:0.998654 B:0.998654 All:0.998654 (28.710097)
n:12 R:0.998501 G:0.998501 B:0.998501 All:0.998501 (28.242735)
n:13 R:0.998331 G:0.998331 B:0.998331 All:0.998331 (27.776374)
n:14 R:0.998294 G:0.998294 B:0.998294 All:0.998294 (27.679764)
n:15 R:0.998133 G:0.998133 B:0.998133 All:0.998133 (27.288337)
n:16 R:0.997974 G:0.997974 B:0.997974 All:0.997974 (26.932568)
n:17 R:0.997879 G:0.997879 B:0.997879 All:0.997879 (26.735566)
n:18 R:0.997800 G:0.997800 B:0.997800 All:0.997800 (26.575661)
n:19 R:0.997688 G:0.997688 B:0.997688 All:0.997688 (26.360187)
n:20 R:0.997708 G:0.997708 B:0.997708 All:0.997708 (26.398164)
n:21 R:0.997760 G:0.997760 B:0.997760 All:0.997760 (26.497949)
n:22 R:0.997701 G:0.997701 B:0.997701 All:0.997701 (26.384242)
n:23 R:0.997720 G:0.997720 B:0.997720 All:0.997720 (26.420928)
n:24 R:0.997710 G:0.997710 B:0.997710 All:0.997710 (26.401143)
n:25 R:0.997712 G:0.997712 B:0.997712 All:0.997712 (26.405915)
n:26 R:0.997692 G:0.997692 B:0.997692 All:0.997692 (26.366765)
n:27 R:0.997666 G:0.997666 B:0.997666 All:0.997666 (26.319066)
n:28 R:0.997699 G:0.997699 B:0.997699 All:0.997699 (26.380398)
n:29 R:0.997723 G:0.997723 B:0.997723 All:0.997723 (26.425959)
n:30 R:0.997745 G:0.997745 B:0.997745 All:0.997745 (26.469476)
n:31 R:0.997741 G:0.997741 B:0.997741 All:0.997741 (26.461615)
n:32 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476619)
n:33 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:34 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:35 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:36 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:37 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:38 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:39 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:40 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:41 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:42 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:43 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:44 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:45 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:46 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:47 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:48 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:49 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:50 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:51 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:52 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:53 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:54 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:55 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:56 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:57 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:58 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:59 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
n:60 R:0.997749 G:0.997749 B:0.997749 All:0.997749 (26.476468)
