n:1 R:0.999862 G:0.999933 B:0.999824 All:0.999873 (38.956389)
n:2 R:0.999839 G:0.999907 B:0.999803 All:0.999850 (38.229985)
n:3 R:0.999826 G:0.999905 B:0.999793 All:0.999841 (37.993880)
n:4 R:0.999816 G:0.999879 B:0.999784 All:0.999827 (37.607314)
n:5 R:0.999813 G:0.999874 B:0.999777 All:0.999821 (37.476995)
n:6 R:0.999814 G:0.999876 B:0.999781 All:0.999823 (37.532399)
n:7 R:0.999809 G:0.999872 B:0.999780 All:0.999820 (37.454211)
n:8 R:0.999813 G:0.999869 B:0.999776 All:0.999820 (37.436547)
n:9 R:0.999811 G:0.999872 B:0.999774 All:0.999819 (37.418837)
n:10 R:0.999811 G:0.999868 B:0.999774 All:0.999818 (37.395817)
n:11 R:0.999802 G:0.999864 B:0.999771 All:0.999812 (37.268392)
n:12 R:0.999805 G:0.999869 B:0.999770 All:0.999815 (37.321776)
n:13 R:0.999807 G:0.999871 B:0.999775 All:0.999818 (37.391386)
n:14 R:0.999809 G:0.999869 B:0.999769 All:0.999816 (37.349779)
n:15 R:0.999805 G:0.999867 B:0.999768 All:0.999813 (37.283923)
n:16 R:0.999809 G:0.999871 B:0.999773 All:0.999818 (37.388375)
n:17 R:0.999809 G:0.999870 B:0.999774 All:0.999818 (37.393169)
n:18 R:0.999809 G:0.999870 B:0.999774 All:0.999818 (37.393169)
n:19 R:0.999809 G:0.999870 B:0.999774 All:0.999818 (37.393169)
n:20 R:0.999809 G:0.999870 B:0.999774 All:0.999818 (37.393169)
n:21 R:0.999809 G:0.999870 B:0.999774 All:0.999818 (37.393169)
n:22 R:0.999809 G:0.999870 B:0.999774 All:0.999818 (37.393169)
n:23 R:0.999809 G:0.999870 B:0.999774 All:0.999818 (37.393169)
n:24 R:0.999809 G:0.999870 B:0.999774 All:0.999818 (37.393169)
n:25 R:0.999842 G:0.999944 B:0.999779 All:0.999855 (38.381972)
n:26 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:27 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:28 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:29 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:30 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:31 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:32 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:33 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:34 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:35 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:36 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:37 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:38 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:39 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:40 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:41 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:42 R:0.999846 G:0.999948 B:0.999781 All:0.999858 (38.484678)
n:43 R:0.999900 G:0.999969 B:0.999863 All:0.999911 (40.489461)
n:44 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:45 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:46 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:47 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:48 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:49 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:50 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:51 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:52 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:53 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:54 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:55 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:56 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:57 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:58 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:59 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:60 R:0.999916 G:0.999972 B:0.999889 All:0.999925 (41.269821)
n:61 R:0.999900 G:0.999983 B:0.999851 All:0.999911 (40.513278)
n:62 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:63 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:64 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:65 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:66 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:67 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:68 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:69 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:70 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:71 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:72 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:73 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:74 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:75 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:76 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:77 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:78 R:0.999886 G:0.999981 B:0.999826 All:0.999898 (39.898749)
n:79 R:0.999848 G:0.999955 B:0.999787 All:0.999863 (38.645556)
n:80 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:81 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:82 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:83 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:84 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:85 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:86 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:87 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:88 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:89 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
n:90 R:0.999826 G:0.999947 B:0.999761 All:0.999845 (38.088155)
