n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:2 R:0.998795 G:0.998795 B:0.998795 All:0.998795 (29.188694)
n:3 R:0.998685 G:0.998685 B:0.998685 All:0.998685 (28.809652)
n:4 R:0.998703 G:0.998703 B:0.998703 All:0.998703 (28.871317)
n:5 R:0.998683 G:0.998683 B:0.998683 All:0.998683 (28.802554)
n:6 R:0.998602 G:0.998602 B:0.998602 All:0.998602 (28.545912)
n:7 R:0.998677 G:0.998677 B:0.998677 All:0.998677 (28.783277)
n:8 R:0.998692 G:0.998692 B:0.998692 All:0.998692 (28.833300)
n:9 R:0.998687 G:0.998687 B:0.998687 All:0.998687 (28.818421)
n:10 R:0.998643 G:0.998643 B:0.998643 All:0.998643 (28.674671)
n:11 R:0.998602 G:0.998602 B:0.998602 All:0.998602 (28.545449)
n:12 R:0.997994 G:0.997994 B:0.997994 All:0.997994 (26.976517)
n:13 R:0.997990 G:0.997990 B:0.997990 All:0.997990 (26.967112)
n:14 R:0.998012 G:0.998012 B:0.998012 All:0.998012 (27.014756)
n:15 R:0.997971 G:0.997971 B:0.997971 All:0.997971 (26.926845)
n:16 R:0.997962 G:0.997962 B:0.997962 All:0.997962 (26.908406)
n:17 R:0.998025 G:0.998025 B:0.998025 All:0.998025 (27.043400)
n:18 R:0.998010 G:0.998010 B:0.998010 All:0.998010 (27.012354)
n:19 R:0.997987 G:0.997987 B:0.997987 All:0.997987 (26.960557)
n:20 R:0.997089 G:0.997089 B:0.997089 All:0.997089 (25.359650)
n:21 R:0.997017 G:0.997017 B:0.997017 All:0.997017 (25.253573)
n:22 R:0.997032 G:0.997032 B:0.997032 All:0.997032 (25.275580)
n:23 R:0.996997 G:0.996997 B:0.996997 All:0.996997 (25.224496)
n:24 R:0.996979 G:0.996979 B:0.996979 All:0.996979 (25.198275)
n:25 R:0.996952 G:0.996952 B:0.996952 All:0.996952 (25.160038)
n:26 R:0.996320 G:0.996320 B:0.996320 All:0.996320 (24.341181)
n:27 R:0.996185 G:0.996185 B:0.996185 All:0.996185 (24.185101)
n:28 R:0.996210 G:0.996210 B:0.996210 All:0.996210 (24.213269)
n:29 R:0.996179 G:0.996179 B:0.996179 All:0.996179 (24.178266)
n:30 R:0.996143 G:0.996143 B:0.996143 All:0.996143 (24.137461)
n:31 R:0.994935 G:0.994935 B:0.994935 All:0.994935 (22.954171)
n:32 R:0.994551 G:0.994551 B:0.994551 All:0.994551 (22.636853)
n:33 R:0.994487 G:0.994487 B:0.994487 All:0.994487 (22.586376)
n:34 R:0.994414 G:0.994414 B:0.994414 All:0.994414 (22.528802)
n:35 R:0.994474 G:0.994474 B:0.994474 All:0.994474 (22.575729)
